Timestamp	Longitude	Latitude	Operatorname	Node	CellID	LAC	NetworkTech	Level	Qual	SNR	CQI	LTERSSI	PINGAVG	PINGMIN	PINGMAX	PINGSTDEV	PINGLOSS	TESTDOWNLINK	TESTUPLINK	TESTDOWNLINKMAX	TESTUPLINKMAX
2025.04.02_11.40.23	10.400223	63.411266	ice+	251080	21	62002	5G	-87	-11	19.0	-	-	34	32	41	2	0	654033	76807	719598	82169
2025.04.02_11.41.03	10.400223	63.411266	ice+	251080	21	62002	5G	-87	-11	19.0	-	-	38	31	74	12	0	742463	79467	768368	83248
2025.04.02_11.41.43	10.400223	63.411266	ice+	251080	21	62002	5G	-87	-11	19.0	-	-	39	32	68	10	0	591317	72444	662320	74442
2025.04.02_11.42.23	10.400223	63.411266	ice+	251080	21	62002	5G	-87	-11	19.0	-	-	38	31	55	6	0	693730	71766	770492	79384
2025.04.02_11.43.03	10.400223	63.411266	ice+	251080	21	62002	5G	-87	-11	19.0	-	-	38	31	84	15	0	532379	75383	550503	82379
2025.04.02_11.43.43	10.400223	63.411266	ice+	251080	21	62002	5G	-87	-11	19.0	-	-	38	31	76	13	0	583380	54481	671637	61445
2025.04.02_11.44.24	10.400223	63.411266	ice+	251080	21	62002	5G	-81	-11	17.0	-	-	58	35	79	15	0	461124	61817	554658	72623
2025.04.02_11.45.04	10.400223	63.411266	ice+	251080	21	62002	5G	-84	-11	17.0	-	-	38	33	73	11	0	562641	59464	576355	66441
2025.04.02_11.45.44	10.400223	63.411266	ice+	251080	21	62002	5G	-87	-12	10.0	-	-	36	31	55	6	0	540787	66462	598439	69217
2025.04.02_11.46.24	10.400223	63.411266	ice+	251080	21	62002	5G	-88	-11	19.0	-	-	35	30	62	9	0	581951	66398	655549	77694
