Timestamp	Longitude	Latitude	Operatorname	Node	CellID	LAC	NetworkTech	Level	Qual	SNR	CQI	LTERSSI	PINGAVG	PINGMIN	PINGMAX	PINGSTDEV	PINGLOSS	TESTDOWNLINK	TESTUPLINK	TESTDOWNLINKMAX	TESTUPLINKMAX
2025.02.12_14.58.39	10.40541	63.417958	Telia N	121687	11	2305	5G	-90	-11	14.0	-	-	64	40	237	58	0	828502	128967	944765	145641
2025.02.12_14.59.19	10.40446	63.417948	Telia N	121687	11	2305	5G	-90	-11	14.0	-	-	42	30	54	6	0	951730	176662	1026560	179481
2025.02.12_14.59.59	10.403899	63.418335	Telia N	121687	11	2305	5G	-90	-11	14.0	-	-	51	37	61	8	0	676004	184649	871765	186761
2025.02.12_15.00.39	10.403314	63.418724	Telia N	121687	31	2305	5G	-90	-11	14.0	-	-	42	31	59	7	0	780381	178076	873153	183798
2025.02.12_15.01.19	10.403173	63.419167	Telia N	241619	31	2305	5G	-90	-11	14.0	-	-	44	40	50	4	0	912362	170583	1019968	176394
2025.02.12_15.02.00	10.403056	63.419608	Telia N	241619	31	2305	5G	-90	-11	14.0	-	-	45	36	55	6	0	630091	116307	708512	128212
2025.02.12_15.02.40	10.402164	63.419603	Telia N	126484	31	2305	5G	-90	-11	14.0	-	-	51	41	62	6	0	774668	138417	877451	143608
2025.02.12_15.03.20	10.401358	63.419449	Telia N	126484	31	2305	5G	-90	-11	14.0	-	-	57	39	94	15	0	620366	118089	711558	120934
2025.02.12_15.04.00	10.401193	63.419076	Telia N	241621	11	2305	5G	-90	-11	14.0	-	-	50	35	99	17	0	549003	68611	675519	83704
2025.02.12_15.04.40	10.402061	63.418828	Telia N	241619	31	2305	5G	-90	-11	14.0	-	-	49	30	62	8	0	963436	138386	1020175	162047
2025.02.12_15.05.20	10.402612	63.418416	Telia N	241619	31	2305	5G	-90	-11	14.0	-	-	52	44	59	5	0	841746	170431	984402	172111
2025.02.12_15.06.01	10.402759	63.418041	Telia N	121687	31	2305	5G	-90	-11	14.0	-	-	48	31	58	8	0	989022	177004	1031243	181678
2025.02.12_15.06.41	10.403125	63.417589	Telia N	121687	31	2305	5G	-68	-11	30.0	-	-	44	38	53	4	0	949995	186327	983398	188945
2025.02.12_15.07.21	10.403585	63.417179	Telia N	121687	21	2305	5G	-68	-11	30.0	-	-	42	35	50	4	0	997529	183251	1022238	192430
2025.02.12_15.08.01	10.404006	63.416856	Telia N	121687	21	2305	5G	-68	-11	30.0	-	-	52	44	61	6	0	976018	183801	1008913	190462
