timestamp,download,upload,ping,server_lat,server_lon,server_name,server_country,server_sponsor,server_id,server_latency,share_url,client_lat,client_lon,servingcell,is_tdd,LTE_MCC,LTE_MNC,LTE_cellID,LTE_PCID,LTE_ARFCN,freq_band_ind,UL_bandwidth,DL_bandwidth,LTE_TAC,LTE_RSRP,LTE_RSRQ,LTE_RSSI,LTE_SINR,LTE_CQI,LTE_tx_power,srxlev,5G cell,5G_MCC,5G_MNC,5G_PCID,5G_RSRP,5G_SINR,5G_RSRQ,5G_ARFCN,5G_band,,
2025-03-04T15:05:23.753120Z,305696815.0997207,121560031.50805798,25.518,59.9494,10.7564,Oslo,Norway,Telenor Norge AS,12919,25.518,http://www.speedtest.net/result/17450558111.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,1EBAB1F,130,1650,3,5,5,901,-70,-16,-36,10,8,-60,-,"+QENG: ""NR5G-NSA""",242,02,376,-90,27,-11,647424,78,12,1
2025-03-04T15:10:49.425370Z,288497229.0035977,116287658.99803397,22.259,59.9494,10.7564,Oslo,Norway,Sikt - Uninett,64688,22.259,http://www.speedtest.net/result/17450579877.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,1EBAB1F,130,1650,3,5,5,901,-70,-16,-32,9,8,-90,-,"+QENG: ""NR5G-NSA""",242,02,376,-88,27,-11,647424,78,12,1
2025-03-04T15:16:15.469856Z,303898981.1395959,120418841.13199092,30.926,63.7506,11.9169,Verdal,Norway,Verdal Kabel-TV,31973,30.926,http://www.speedtest.net/result/17450602383.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,1EBAB1F,130,1650,3,5,5,901,-71,-17,-31,8,8,-350,-,"+QENG: ""NR5G-NSA""",242,02,376,-90,27,-11,647424,78,12,1
2025-03-04T15:21:42.311167Z,326114119.88155824,125849282.03867616,29.783,63.2906,9.0891,Kyrksæterøra,Norway,Sodvin AS,49292,29.783,http://www.speedtest.net/result/17450624174.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,1EBAB1F,130,1650,3,5,5,901,-71,-16,-34,7,7,-340,-,"+QENG: ""NR5G-NSA""",242,02,376,-90,27,-11,647424,78,12,1
2025-03-04T15:27:09.025511Z,300782260.1653306,116568169.27374463,31.599,64.0150,11.4953,Steinkjer,Norway,NTE Telekom A/S,19080,31.599,http://www.speedtest.net/result/17450645912.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE14,0,2850,7,5,5,901,-75,-9,-45,13,10,-80,-,"+QENG: ""NR5G-NSA""",242,02,376,-91,27,-11,647424,78,12,1
2025-03-04T15:32:36.130508Z,326548659.6144983,118153303.77638647,26.213,59.9494,10.7564,Oslo,Norway,Sikt - Uninett,64688,26.213,http://www.speedtest.net/result/17450667667.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE14,0,2850,7,5,5,901,-76,-9,-45,11,12,-290,-,"+QENG: ""NR5G-NSA""",242,02,376,-90,27,-11,647424,78,12,1
2025-03-04T15:38:02.163031Z,409766605.29413086,115854468.38703318,22.74,59.9494,10.7564,Oslo,Norway,Telenor Norge AS,12919,22.74,http://www.speedtest.net/result/17450689009.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE14,0,2850,7,5,5,901,-76,-10,-46,12,14,-40,-,"+QENG: ""NR5G-NSA""",242,02,376,-90,27,-11,647424,78,12,1
2025-03-04T15:43:26.421658Z,315328053.960019,108223624.34928007,34.591,67.2829,14.4151,Bodø,Norway,Lyse Tele AS,64501,34.591,http://www.speedtest.net/result/17450711322.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE14,0,2850,7,5,5,901,-76,-9,-47,15,9,-60,-,"+QENG: ""NR5G-NSA""",242,02,376,-91,27,-11,647424,78,12,1
2025-03-04T15:48:53.750539Z,298007664.6187978,113920688.67901891,20.925,59.9494,10.7564,Oslo,Norway,Sikt - Uninett,64688,20.925,http://www.speedtest.net/result/17450733180.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE14,0,2850,7,5,5,901,-76,-10,-45,10,12,-260,-,"+QENG: ""NR5G-NSA""",242,02,376,-88,27,-11,647424,78,12,1
2025-03-04T15:54:19.539996Z,323777159.64719427,121326976.00085188,23.602,59.9494,10.7564,Oslo,Norway,Sikt - Uninett,64688,23.602,http://www.speedtest.net/result/17450755199.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE14,0,2850,7,5,5,901,-76,-10,-44,10,15,-280,-,"+QENG: ""NR5G-NSA""",242,02,376,-90,27,-11,647424,78,12,1
2025-03-04T15:59:45.122328Z,291124935.37760305,117279089.91745518,22.82,59.9494,10.7564,Oslo,Norway,Sikt - Uninett,64688,22.82,http://www.speedtest.net/result/17450776903.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE14,0,2850,7,5,5,901,-76,-9,-46,11,9,-340,-,"+QENG: ""NR5G-NSA""",242,02,376,-90,27,-11,647424,78,12,1
2025-03-04T16:05:11.605661Z,362033228.08628124,114723415.53650708,22.598,59.9494,10.7564,Oslo,Norway,Sikt - Uninett,64688,22.598,http://www.speedtest.net/result/17450798505.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE14,0,2850,7,5,5,901,-76,-9,-46,11,13,-290,-,"+QENG: ""NR5G-NSA""",242,02,376,-91,28,-11,647424,78,12,1
2025-03-04T16:10:36.350353Z,348585006.60383266,116946531.14071299,31.93,63.2185,7.4891,Kristiansund,Norway,NEAS,18865,31.93,http://www.speedtest.net/result/17450820446.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE14,0,2850,7,5,5,901,-76,-9,-47,12,12,-310,-,"+QENG: ""NR5G-NSA""",242,02,376,-91,27,-11,647424,78,12,1
2025-03-04T16:16:02.556905Z,340356723.53650683,116060917.8771651,31.677,64.0150,11.4953,Steinkjer,Norway,NTE Telekom A/S,19080,31.677,http://www.speedtest.net/result/17450842980.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE14,0,2850,7,5,5,901,-76,-9,-45,11,9,0,-,"+QENG: ""NR5G-NSA""",242,02,376,-90,27,-11,647424,78,12,1
2025-03-04T16:21:30.150419Z,326970778.93159986,111137494.1430015,23.268,59.9494,10.7564,Oslo,Norway,Sikt - Uninett,64688,23.268,http://www.speedtest.net/result/17450864929.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE14,0,2850,7,5,5,901,-76,-11,-43,11,13,-50,-,"+QENG: ""NR5G-NSA""",242,02,376,-90,27,-11,647424,78,12,1
2025-03-04T16:26:56.634703Z,225441237.48999795,83711439.41215616,21.597,59.9494,10.7564,Oslo,Norway,Sikt - Uninett,64688,21.597,http://www.speedtest.net/result/17450887105.png,59.9452,10.7559,"+QENG: ""LTE""","""FDD""",242,02,5AABE14,0,2850,7,5,5,901,-76,-11,-42,10,10,-270,-,"+QENG: ""NR5G-NSA""",242,02,376,-89,26,-11,647424,78,12,1
